Country,2015,2016,2017,2018,2019
Ghana,4.633,4.276,4.11999988555908,4.657,4.996
Greece,4.857,5.033,5.22700023651123,5.358,5.287
Guatemala,6.123,6.324,6.4539999961853,6.382,6.436
Guinea,3.656,3.607,3.50699996948242,3.964,4.534
Haiti,4.518,4.028,3.6029999256134,3.582,3.597
Honduras,4.788,4.871,5.18100023269653,5.504,5.86
Hong Kong,5.474,5.458,,5.43,5.43
"Hong Kong S.A.R., China",,,5.47200012207031,,
Hungary,4.8,5.145,5.32399988174438,5.62,5.758
Iceland,7.561,7.501,7.50400018692017,7.495,7.494
India,4.565,4.404,4.31500005722046,4.19,4.015
Indonesia,5.399,5.314,5.26200008392334,5.093,5.192
Iran,4.686,4.813,4.69199991226196,4.707,4.548
Iraq,4.677,4.575,4.49700021743774,4.456,4.437
Ireland,6.94,6.907,6.97700023651123,6.977,7.021
Israel,7.278,7.267,7.21299982070923,6.814,7.139
Italy,5.948,5.977,5.96400022506714,6.0,6.223
Ivory Coast,3.655,3.916,4.17999982833862,4.671,4.944
Jamaica,5.709,5.51,5.31099987030029,5.89,5.89
Japan,5.987,5.921,5.92000007629395,5.915,5.886
Jordan,5.192,5.303,5.33599996566772,5.161,4.906
Kazakhstan,5.855,5.919,5.81899976730347,5.79,5.809
Kenya,4.419,4.356,4.55299997329712,4.41,4.509
Kosovo,5.589,5.401,5.27899980545044,5.662,6.1
Kuwait,6.295,6.239,6.10500001907349,6.083,6.021
Kyrgyzstan,5.286,5.185,5.00400018692017,5.131,5.261
Laos,4.876,4.876,,4.623,4.796
Latvia,5.098,5.56,5.84999990463257,5.933,5.94
Lebanon,4.839,5.129,5.22499990463257,5.358,5.197
Lesotho,4.898,,3.80800008773804,3.808,3.802
Liberia,4.571,3.622,3.53299999237061,3.495,3.975
Libya,5.754,5.615,5.52500009536743,5.566,5.525
Lithuania,5.833,5.813,5.90199995040894,5.952,6.149
Luxembourg,6.946,6.871,6.86299991607666,6.91,7.09
Macedonia,5.007,5.121,5.17500019073486,5.185,
Madagascar,3.681,3.695,3.64400005340576,3.774,3.933
Malawi,4.292,4.156,3.97000002861023,3.587,3.41
Malaysia,5.77,6.005,6.08400011062622,6.322,5.339
Mali,3.995,4.073,4.19000005722046,4.447,4.39
Malta,6.302,6.488,6.52699995040894,6.627,6.726
Mauritania,4.436,4.201,4.29199981689453,4.356,4.49
Mauritius,5.477,5.648,5.62900018692017,5.891,5.888
Mexico,7.187,6.778,6.57800006866455,6.488,6.595
Moldova,5.889,5.897,5.83799982070923,5.64,5.529
Mongolia,4.874,4.907,4.95499992370605,5.125,5.285
Montenegro,5.192,5.161,5.23699998855591,5.347,5.523
Morocco,5.013,5.151,5.2350001335144,5.254,5.208
Mozambique,4.971,,4.55000019073486,4.417,4.466
Myanmar,4.307,4.395,4.54500007629395,4.308,4.36
Namibia,,4.574,4.57399988174438,4.441,4.639
Nepal,4.514,4.793,4.96199989318848,4.88,4.913
Netherlands,7.378,7.339,7.3769998550415,7.441,7.488
New Zealand,7.286,7.334,7.31400012969971,7.324,7.307
Nicaragua,5.828,5.992,6.07100009918213,6.141,6.105
Niger,3.845,3.856,4.02799987792969,4.166,4.628
Nigeria,5.268,4.875,5.07399988174438,5.155,5.265
North Cyprus,5.695,5.771,5.80999994277954,,
North Macedonia,,,,,5.274
Northern Cyprus,,,,5.835,5.718
Norway,7.522,7.498,7.53700017929077,7.594,7.554
Oman,6.853,,,,
Pakistan,5.194,5.132,5.26900005340576,5.472,5.653
Palestinian Territories,4.715,4.754,4.77500009536743,4.743,4.696
Panama,6.786,6.701,6.4520001411438,6.43,6.321
Paraguay,5.878,5.538,5.49300003051758,5.681,5.743
Peru,5.824,5.743,5.71500015258789,5.663,5.697
Philippines,5.073,5.279,5.42999982833862,5.524,5.631
Poland,5.791,5.835,5.97300004959106,6.123,6.182
Portugal,5.102,5.123,5.19500017166138,5.41,5.693
Puerto Rico,,7.039,,,
Qatar,6.611,6.375,6.375,6.374,6.374
Romania,5.124,5.528,5.82499980926514,5.945,6.07
Russia,5.716,5.856,5.96299982070923,5.81,5.648
Rwanda,3.465,3.515,3.47099995613098,3.408,3.334
Saudi Arabia,6.411,6.379,6.3439998626709,6.371,6.375
Senegal,3.904,4.219,4.53499984741211,4.631,4.681
Serbia,5.123,5.177,5.39499998092651,5.398,5.603
Sierra Leone,4.507,4.635,4.70900011062622,4.571,4.374
Singapore,6.798,6.739,6.57200002670288,6.343,6.262
Slovakia,5.995,6.078,6.09800004959106,6.173,6.198
Slovenia,5.848,5.768,5.75799989700317,5.948,6.118
Somalia,,5.44,5.15100002288818,4.982,4.668
Somaliland Region,,5.057,,,
Somaliland region,5.057,,,,
South Africa,4.642,4.459,4.8289999961853,4.724,4.722
South Korea,5.984,5.835,5.83799982070923,5.875,5.895
South Sudan,,3.832,3.59100008010864,3.254,2.853
Spain,6.329,6.361,6.40299987792969,6.31,6.354
Sri Lanka,4.271,4.415,4.44000005722046,4.471,4.366
Sudan,4.55,4.139,4.13899993896484,4.139,
Suriname,6.269,6.269,,,
Swaziland,4.867,,,,4.212
Sweden,7.364,7.291,7.28399991989136,7.314,7.343
Switzerland,7.587,7.509,7.49399995803833,7.487,7.48
Syria,3.006,3.069,3.46199989318848,3.462,3.462
Taiwan,6.298,6.379,,6.441,6.446
Taiwan Province of China,,,6.42199993133545,,
Tajikistan,4.786,4.996,5.04099988937378,5.199,5.467
Tanzania,3.781,3.666,3.34899997711182,3.303,3.231
Thailand,6.455,6.474,6.42399978637695,6.072,6.008
Togo,2.839,3.303,3.49499988555908,3.999,4.085
Trinidad & Tobago,,,,6.192,6.192
Trinidad and Tobago,6.168,6.168,6.16800022125244,,
Tunisia,4.739,5.045,4.80499982833862,4.592,4.461
Turkey,5.332,5.389,5.5,5.483,5.373
Turkmenistan,5.548,5.658,5.82200002670288,5.636,5.247
Uganda,3.931,3.739,4.08099985122681,4.161,4.189
Ukraine,4.681,4.324,4.09600019454956,4.103,4.332
United Arab Emirates,6.901,6.573,6.64799976348877,6.774,6.825
United Kingdom,6.867,6.725,6.71400022506714,7.19,7.054
United States,7.119,7.104,6.99300003051758,6.886,6.892
Uruguay,6.485,6.545,6.4539999961853,6.379,6.293
Uzbekistan,6.003,5.987,5.97100019454956,6.096,6.174
Venezuela,6.81,6.084,5.25,4.806,4.707
Vietnam,5.36,5.061,5.07399988174438,5.103,5.175
Yemen,4.077,3.724,3.59299993515015,3.355,3.38
Zambia,5.129,4.795,4.51399993896484,4.377,4.107
Zimbabwe,4.61,4.193,3.875,3.692,3.663
